이름,나이,점수,지역,등록일
김민준3,43.0,74.5,부산,2023-11-18
이서연3,31.0,93.2,부산,2023-12-15
박지훈3,21.0,75.9,대전,2023-11-02
최수아3,36.0,85.7,경기,2023-07-17
정도윤3,21.0,76.7,대전,2023-11-02
강지우3,51.0,82.0,경북,2023-09-28
조서준3,52.0,93.5,인천,2023-10-11
윤하은3,,90.5,서울,2023-12-15
장민서3,51.0,99.3,경기,2023-12-16
임유진3,30.0,91.9,경남,2023-05-17
한현우3,36.0,75.6,광주,2023-02-27
오채원3,53.0,93.1,인천,2023-08-11
홍승현3,25.0,125.0,부산,2023-08-21
서지아3,35.0,78.9,서울,2023-05-15
신태양3,52.0,82.2,경남,2023-04-02
권나연3,35.0,72.4,경남,2023-02-24
황민재3,48.0,78.7,인천,2023-11-24
문소희3,55.0,88.9,경남,2023-11-08
양준호3,38.0,,대구,2023-03-20
백아린3,39.0,86.8,광주,2023-03-24
송현준3,51.0,85.4,경남,2023-09-29
전가은3,20.0,62.2,서울,2023-11-03
허성민3,30.0,75.7,광주,2023-09-08
남보라3,42.0,79.4,서울,2023-02-27
유태현3,50.0,79.1,광주,2023-06-07
안하늘3,35.0,86.4,대구,2023-01-30
배수민3,45.0,82.1,대구,2023-10-18
노준석3,21.0,85.0,경기,2023-02-13
차지현3,20.0,84.1,경북,2023-02-05
류민호3,28.0,88.3,경남,2023-03-06
김민준4,54.0,88.5,부산,2023-12-04
이서연4,39.0,85.8,경북,2023-10-09
박지훈4,43.0,89.4,부산,2023-05-16
최수아4,30.0,80.2,경남,2023-11-07
정도윤4,27.0,87.2,대전,2023-04-19
강지우4,54.0,90.8,경남,2023-12-20
조서준4,44.0,83.4,대구,2023-06-09
윤하은4,54.0,72.3,대전,2023-12-10
장민서4,35.0,82.0,광주,2023-08-13
임유진4,,78.9,경남,2023-08-20
한현우4,27.0,85.4,경기,2023-05-07
오채원4,52.0,89.5,대구,2023-02-02
홍승현4,31.0,100.2,광주,2023-01-11
서지아4,41.0,83.2,충남,2023-10-11
신태양4,49.0,81.4,대구,2023-10-29
권나연4,27.0,84.7,대구,2023-01-04
황민재4,46.0,66.5,경기,2023-12-29
문소희4,52.0,75.2,서울,2023-04-28
양준호4,47.0,88.8,경기,2023-01-17
백아린4,38.0,85.2,광주,2023-02-06
송현준4,23.0,,경남,2023-05-02
전가은4,36.0,80.9,인천,2023-12-09
허성민4,47.0,67.7,경북,2023-04-20
남보라4,25.0,80.1,경남,2023-03-09
유태현4,54.0,86.8,충남,2023-10-23
안하늘4,50.0,66.4,경북,2023-05-05
배수민4,54.0,74.4,경북,2023-07-28
노준석4,52.0,77.2,대구,2023-02-18
차지현4,22.0,83.7,경기,2023-12-04
류민호4,50.0,72.0,대전,2023-07-01
김민준5,22.0,74.9,대전,2023-07-30
이서연5,51.0,83.2,경북,2023-01-28
박지훈5,41.0,71.6,경기,2023-02-01
최수아5,21.0,76.0,대전,2023-06-23
정도윤5,45.0,89.0,경기,2023-05-08
강지우5,48.0,90.5,대구,2023-04-08
조서준5,45.0,84.4,경남,2023-08-18
윤하은5,32.0,84.1,부산,2023-08-05
장민서5,26.0,93.5,부산,2023-05-23
임유진5,20.0,82.1,경북,2023-05-08
한현우5,27.0,89.6,경기,2023-08-15
오채원5,31.0,87.2,경남,2023-02-20
홍승현5,42.0,82.5,서울,2023-11-30
서지아5,51.0,78.7,경남,2023-01-08
신태양5,42.0,72.4,경기,2023-05-02
권나연5,41.0,91.6,부산,2023-07-28
황민재5,41.0,84.8,경북,2023-09-04
문소희5,52.0,67.0,대구,2023-07-25
양준호5,27.0,76.3,서울,2023-03-26
백아린5,24.0,87.4,대전,2023-01-02
송현준5,23.0,78.9,대전,2023-05-16
전가은5,49.0,85.5,경북,2023-05-27
허성민5,54.0,92.9,대전,2023-12-23
남보라5,32.0,88.6,경남,2023-12-05
유태현5,49.0,81.1,경북,2023-03-21
안하늘5,38.0,78.1,대구,2023-06-01
배수민5,47.0,75.1,대구,2023-01-30
노준석5,45.0,88.7,충남,2023-10-05
차지현5,42.0,96.3,서울,2023-06-10
류민호5,20.0,76.6,서울,2023-01-26
